id,class,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temperature,insolation_flux,stellar_effective_temperature,stellar_surface_gravity,stellar_radius,ra,dec
47,CONFIRMED,3.689920099,2.6557,426.7,1.89,1147.0,408.99,5880.0,4.518,0.917,291.62241,50.61824
48,CONFIRMED,4.431238488,3.15,1010.9,3.25,1104.0,351.23,5714.0,4.428,1.015,295.81616,51.121738
49,CONFIRMED,11.37936986,2.6255,1023.5,3.95,806.0,99.68,5714.0,4.428,1.015,295.81616,51.121738
50,CONFIRMED,26.39432897,3.573,1510.9,3.07,489.0,13.49,5129.0,4.595,0.763,289.39972,51.25032
51,CONFIRMED,13.57078281,3.3539,511.7,2.64,785.0,89.61,5854.0,4.406,1.012,300.86398,44.337551
52,CONFIRMED,7.12594387,3.0014,192.4,1.79,997.0,233.31,5779.0,4.339,1.087,287.88733,46.276241
53,FALSE POSITIVE,7.442652004,2.3078,24446.0,15.03,967.0,206.78,6108.0,4.469,0.956,288.98682,49.733742
54,CONFIRMED,16.38489988,3.0249,1127.1,2.0,433.0,8.35,4126.0,4.661,0.615,286.73804,49.97575
55,CONFIRMED,7.8774163,2.0805,1306.1,2.16,553.0,22.18,4126.0,4.661,0.615,286.73804,49.97575
56,CONFIRMED,36.4454001,4.007,1122.3,1.99,332.0,2.88,4126.0,4.661,0.615,286.73804,49.97575
57,CONFIRMED,3.728732147,2.683,5226.5,6.02,1023.0,258.34,5497.0,4.577,0.809,290.78574,50.054119
58,CANDIDATE,40.4195037,3.362,6256.0,7.51,467.0,11.29,5446.0,4.507,0.781,294.31686,50.080231
59,CONFIRMED,2.243380573,1.1196,821.7,1.99,822.0,107.6,4149.0,4.698,0.564,285.17621,50.149818
60,FALSE POSITIVE,10.405998015,6.5036,14489.0,11.23,833.0,113.94,5746.0,4.393,0.924,289.23553,50.241001
61,CONFIRMED,2.337437946,1.9982,971.2,2.34,1070.0,311.16,5005.0,4.595,0.765,293.83331,50.23035
62,CANDIDATE,7.2406612,0.558,556.4,19.45,734.0,68.63,5005.0,4.595,0.765,293.83331,50.23035
63,CANDIDATE,3.43591631,3.133,23.2,0.55,1272.0,617.61,5779.0,4.339,1.087,287.88733,46.276241
64,CONFIRMED,11.59822233,2.5237,2804.5,2.65,396.0,5.82,3688.0,4.79,0.473,296.22195,50.28722
65,CONFIRMED,6.575315881,4.3084,2793.3,5.31,1015.0,251.38,5992.0,4.415,0.989,290.09805,50.321609
66,CONFIRMED,7.275040844,7.5377,3001.0,4.86,833.0,113.64,5485.0,4.556,0.867,295.45529,50.49456
67,CONFIRMED,19.27153892,2.7594,1219.8,1.93,393.0,5.66,4077.0,4.702,0.56,293.97336,50.53191
68,CONFIRMED,10.06524317,1.369,1053.3,1.91,488.0,13.43,4077.0,4.702,0.56,293.97336,50.53191
69,CONFIRMED,12.3935651,3.8896,916.6,2.66,677.0,49.68,5557.0,4.603,0.75,296.02133,50.56778
70,CONFIRMED,43.84439721,6.802,615.2,2.87,531.0,18.77,5854.0,4.406,1.012,300.86398,44.337551
71,FALSE POSITIVE,3.341913228,3.813,725.3,21.55,1032.0,268.67,5295.0,4.551,0.811,292.31595,38.27029
72,FALSE POSITIVE,1.626630225,2.1145,1620.6,32.43,1547.0,1355.88,5735.0,4.41,0.973,294.36819,38.31028
73,CONFIRMED,2.711504086,3.0099,837.5,3.12,1420.0,960.79,6214.0,4.442,1.076,291.65353,38.494659
74,CONFIRMED,7.21203748,4.0491,950.4,3.32,1025.0,260.58,6214.0,4.442,1.076,291.65353,38.494659
75,FALSE POSITIVE,14.1798187,2.505,459.9,1.88,711.0,60.35,5799.0,4.539,0.878,291.0448,51.321671
76,CONFIRMED,8.47237911,2.7245,1123.5,2.59,751.0,75.44,5354.0,4.587,0.788,296.36652,51.319519
77,CONFIRMED,60.4189369,5.039,931.3,2.36,390.0,5.49,5354.0,4.587,0.788,296.36652,51.319519
78,CONFIRMED,12.611904345,5.1497,6105.6,7.4,753.0,76.15,5795.0,4.508,0.919,289.11221,51.737381
79,FALSE POSITIVE,1.433769925,1.8868,1976.3,46.58,1920.0,3209.29,6017.0,4.22,1.339,290.84369,37.728828
80,FALSE POSITIVE,10.31872301,3.836,871.7,28.59,876.0,139.26,5927.0,4.409,1.06,291.84891,37.713501
81,CONFIRMED,2.539183147,2.4282,382.1,2.06,1332.0,743.09,5519.0,4.35,1.062,291.43997,37.905659
82,CONFIRMED,6.770300385,2.0844,1304.0,2.77,812.0,102.87,5653.0,4.656,0.679,290.87051,38.273628
83,FALSE POSITIVE,0.444291966,2.0792,10967.0,27.51,1836.0,2706.26,5255.0,4.678,0.636,290.99689,38.28492
84,CANDIDATE,10.181584004,3.5089,5741.1,7.73,812.0,102.91,5988.0,4.541,0.836,291.28195,38.241669
85,CONFIRMED,20.06036336,3.3203,1494.7,1.96,361.0,4.0,3950.0,4.754,0.493,286.07913,39.27832
86,CONFIRMED,46.1842039,4.758,1394.7,1.83,273.0,1.32,3950.0,4.754,0.493,286.07913,39.27832
87,CONFIRMED,23.9800854,5.351,104.0,1.31,649.0,41.94,5854.0,4.406,1.012,300.86398,44.337551
88,CONFIRMED,7.82502168,2.186,520.8,1.2,494.0,14.05,3950.0,4.754,0.493,286.07913,39.27832
89,CONFIRMED,3.895936525,2.3111,8544.8,7.34,1005.0,241.62,5557.0,4.592,0.774,294.65524,39.308361
90,CONFIRMED,22.36646466,5.228,986.8,2.32,536.0,19.45,5395.0,4.615,0.734,294.71063,39.52174
91,CONFIRMED,1.625522174,2.38963,7969.0,9.73,1579.0,1467.41,5539.0,4.322,1.106,293.87192,38.422939
92,CANDIDATE,19.620346923,2.0038,21725.0,13.6,643.0,40.39,5710.0,4.492,0.905,293.81619,38.563568
93,FALSE POSITIVE,7.544039,6.222,322.6,17.47,838.0,116.46,5657.0,4.567,0.824,293.94116,38.601101
94,CONFIRMED,9.02930689,3.1449,1019.8,2.57,757.0,77.75,5349.0,4.526,0.82,290.33362,38.72823
95,FALSE POSITIVE,10.328035714,7.7915,16918.0,13.28,843.0,119.31,5627.0,4.359,1.024,287.69675,38.886452
96,CONFIRMED,143.2063047,8.9302,10566.0,8.9,308.0,2.14,5485.0,4.556,0.867,285.28363,38.947281
97,CONFIRMED,6.164876,3.262,55.8,0.79,1021.0,256.35,5854.0,4.406,1.012,300.86398,44.337551
98,CONFIRMED,60.32494216,6.6188,20280.0,12.19,411.0,6.77,5485.0,4.556,0.867,285.28363,38.947281
99,CONFIRMED,29.1598615,4.803,488.0,1.91,524.0,17.85,5485.0,4.556,0.867,285.28363,38.947281
100,FALSE POSITIVE,1.540397253,2.1541,816.1,25.69,1470.0,1105.68,5663.0,4.53,0.915,286.92639,38.921631
101,FALSE POSITIVE,2.99025443,5.414,589.2,1.7,918.0,168.45,4667.0,4.578,0.731,287.74881,38.92955
102,CONFIRMED,1.594745374,1.9604,15044.0,11.3,1539.0,1329.42,5934.0,4.491,0.893,285.21381,39.027481
103,CONFIRMED,4.783002698,2.335,1008.7,2.5,886.0,145.48,5170.0,4.574,0.807,287.09399,39.060719
104,CONFIRMED,20.50588921,4.0595,2105.5,3.41,518.0,17.06,4905.0,4.544,0.761,289.31543,39.153278
105,CONFIRMED,3.340218842,1.9104,1632.6,2.03,656.0,43.73,3950.0,4.754,0.493,286.07913,39.27832
106,FALSE POSITIVE,2.507089906,2.0067,1339.2,30.26,1326.0,730.47,5926.0,4.506,0.939,295.37805,40.493401
107,CONFIRMED,18.64932728,4.4056,893.6,3.12,701.0,57.13,5775.0,4.405,1.053,290.46176,40.562462
108,CONFIRMED,4.90144976,4.1654,140.7,1.7,1262.0,598.74,5847.0,4.191,1.402,297.02826,48.208611
109,CONFIRMED,9.75192101,4.793,418.0,2.76,870.0,135.66,5775.0,4.405,1.053,290.46176,40.562462
110,CONFIRMED,38.5576546,5.794,993.0,4.02,550.0,21.71,5775.0,4.405,1.053,290.46176,40.562462
111,CONFIRMED,3.525632539,2.59959,22335.0,11.58,975.0,213.12,5150.0,4.572,0.793,290.58173,40.5774
112,CANDIDATE,34.84398644,2.9315,4523.6,7.61,511.0,16.1,5509.0,4.482,0.871,285.92001,39.624828
113,CONFIRMED,7.748094239,3.5957,2472.1,5.52,964.0,204.39,5973.0,4.439,1.085,294.4899,39.771439
114,CONFIRMED,23.96793669,3.827,1182.3,1.8,329.0,2.77,3747.0,4.728,0.524,283.86639,39.898079
115,CONFIRMED,8.29561738,1.3421,824.3,1.82,469.0,11.39,3747.0,4.728,0.524,283.86639,39.898079
116,CONFIRMED,8.11437482,2.2736,1558.0,2.1,460.0,10.55,3692.0,4.753,0.517,288.81201,40.033401
117,FALSE POSITIVE,38.036729482,4.34617,82872.0,27.5,500.0,14.81,5575.0,4.521,0.932,294.14789,40.055538
118,CANDIDATE,4.64090031,35.512,2450.6,30.09,1155.0,421.08,6463.0,4.5,0.826,295.11371,40.071171
119,FALSE POSITIVE,3.747838198,5.0642,616.0,13.65,1031.0,266.76,5514.0,4.569,0.826,291.06152,50.265129
120,CONFIRMED,14.74914825,6.0995,430.2,2.89,874.0,137.91,5847.0,4.191,1.402,297.02826,48.208611
121,CONFIRMED,21.81295996,4.3791,1175.4,3.38,639.0,39.33,5601.0,4.41,0.999,294.77686,40.15374
122,FALSE POSITIVE,7.91936937,3.3148,15148.0,10.34,814.0,104.0,5690.0,4.588,0.776,283.53845,40.217999
123,CANDIDATE,1.028436523,1.8606,8098.0,72.77,1947.0,3400.48,6228.0,4.428,0.99,296.00699,40.295429
124,CONFIRMED,15.37562369,3.3169,15337.0,11.01,600.0,30.54,4986.0,4.496,0.833,283.25354,40.358189
125,CONFIRMED,8.10363271,3.161,887.9,2.11,687.0,52.82,4861.0,4.574,0.732,283.22141,40.421829
126,CONFIRMED,4.71510843,2.506,417.5,1.46,823.0,108.84,4861.0,4.574,0.732,283.22141,40.421829
127,CONFIRMED,6.365839713,2.9721,780.7,2.44,914.0,165.33,5776.0,4.554,0.849,291.14951,40.420521
128,FALSE POSITIVE,5.97581754,3.065,962.4,3.86,1047.0,284.25,6108.0,4.471,0.997,294.22397,40.417858
129,FALSE POSITIVE,2.446737317,4.7211,1177.9,26.25,1261.0,597.19,5764.0,4.548,0.863,298.96112,40.862808
130,CONFIRMED,3.04033046,1.8411,10859.0,8.99,1021.0,257.29,5035.0,4.519,0.791,299.3161,40.82238
131,CONFIRMED,15.33528675,3.897,3081.4,5.0,610.0,32.67,5251.0,4.581,0.817,292.23676,41.08588
132,CONFIRMED,7.95825328,4.377,50.0,1.06,1074.0,314.15,5847.0,4.191,1.402,297.02826,48.208611
133,CONFIRMED,31.33046135,5.176,5073.8,6.5,481.0,12.61,5251.0,4.581,0.817,292.23676,41.08588
134,FALSE POSITIVE,3.9043425,3.831,16228.0,12.28,1104.0,351.05,5810.0,4.526,0.898,294.05676,40.549679
135,FALSE POSITIVE,9.286358079,3.49949,44791.0,17.61,796.0,95.03,5670.0,4.523,0.821,294.74396,40.53392
136,FALSE POSITIVE,3.951405455,2.1862,2453.9,31.44,1133.0,388.71,6046.0,4.539,0.869,295.50439,40.505489
137,CONFIRMED,23.65369415,8.2183,3341.8,7.89,731.0,67.65,5739.0,4.191,1.384,287.89713,40.637821
138,CONFIRMED,13.23352214,6.7372,504.6,3.06,888.0,146.67,5739.0,4.191,1.384,287.89713,40.637821
139,CONFIRMED,6.15560285,4.9843,285.0,2.32,1146.0,406.94,5739.0,4.191,1.384,287.89713,40.637821
140,CONFIRMED,2.090811305,3.388,115.9,1.62,1642.0,1718.04,5739.0,4.191,1.384,287.89713,40.637821
141,CONFIRMED,3.180027898,3.5797,120.3,1.53,1458.0,1066.86,5847.0,4.191,1.402,297.02826,48.208611
142,CONFIRMED,50.4467417,7.159,370.3,2.67,568.0,24.64,5739.0,4.191,1.384,287.89713,40.637821
143,CONFIRMED,11.76307164,2.9076,1037.3,2.35,616.0,33.99,4959.0,4.603,0.756,294.20215,40.66341
144,CONFIRMED,56.2279271,3.57,862.7,2.37,366.0,4.22,4959.0,4.603,0.756,294.20215,40.66341
145,FALSE POSITIVE,2.384052875,3.0918,1268.1,17.06,1010.0,244.87,4794.0,4.58,0.701,299.64285,40.691238
146,CONFIRMED,7.953547,2.6312,875.4,2.25,696.0,55.37,4768.0,4.536,0.779,291.15878,40.750271
147,CONFIRMED,4.14451656,2.3421,391.8,1.48,864.0,132.08,4768.0,4.536,0.779,291.15878,40.750271
148,FALSE POSITIVE,4.859386384,2.2757,6044.3,38.33,1114.0,364.23,6072.0,4.47,0.988,292.21436,40.759762
149,CONFIRMED,10.526294577,2.5211,9768.0,8.24,713.0,61.16,5386.0,4.553,0.793,293.87811,41.66177
150,CONFIRMED,4.583520948,2.7055,3812.1,5.39,1038.0,274.98,5815.0,4.54,0.877,299.18686,41.74268
151,CONFIRMED,3.76181843,3.5176,510.6,2.66,1121.0,372.62,5653.0,4.472,0.949,283.31638,41.83712
152,CONFIRMED,8.20396958,2.9667,1024.4,3.01,742.0,71.5,5015.0,4.499,0.826,286.5657,41.808399
153,CONFIRMED,14.49645186,4.016,647.5,3.01,613.0,33.48,5015.0,4.499,0.826,286.5657,41.808399
154,CONFIRMED,6.54626149,2.75,655.9,2.19,810.0,101.78,5251.0,4.581,0.817,292.23676,41.08588
155,CONFIRMED,12.71809866,3.0957,1149.4,2.31,562.0,23.6,4702.0,4.592,0.686,292.91312,41.060921
156,CONFIRMED,36.06588163,4.3246,1563.8,2.64,397.0,5.88,4702.0,4.592,0.686,292.91312,41.060921
157,CONFIRMED,4.190425659,2.8589,2877.4,6.21,1234.0,547.9,6073.0,4.392,1.135,293.49661,41.137589
158,CONFIRMED,3.709870784,3.0694,2020.3,4.35,1151.0,415.1,5727.0,4.463,0.978,283.86441,41.346458
159,CONFIRMED,16.3297527,6.271,1187.5,3.75,727.0,66.08,5878.0,4.444,0.987,288.51001,41.301769
160,CONFIRMED,27.807566216,4.21587,25391.0,13.84,554.0,22.24,5862.0,4.584,0.785,296.88821,41.396091
161,CONFIRMED,80.8723469,11.195,3604.6,7.59,452.0,9.88,5510.0,4.222,1.238,287.1543,41.565788
162,FALSE POSITIVE,3.166465862,2.9381,4357.2,26.82,954.0,196.31,4968.0,4.575,0.704,284.86929,41.679192
163,CONFIRMED,24.99324319,5.9409,269.6,2.29,712.0,60.88,5718.0,4.181,1.317,287.36279,38.649601
164,CONFIRMED,10.35533116,3.1775,750.6,2.47,777.0,86.22,5501.0,4.462,0.918,288.9942,41.633282
165,CONFIRMED,16.08518937,3.984,1442.4,3.68,613.0,33.43,5239.0,4.523,0.826,292.10519,42.380322
166,CANDIDATE,235.9986399,8.2284,20715.0,10.59,188.0,0.29,4245.0,4.627,0.657,293.00797,42.307201
167,CONFIRMED,7.49018305,2.7297,1123.6,2.56,753.0,76.06,5103.0,4.562,0.787,291.63898,42.436321
168,CONFIRMED,36.2761238,4.7865,1572.6,3.03,445.0,9.29,5103.0,4.562,0.787,291.63898,42.436321
169,CONFIRMED,17.46087931,2.2641,812.4,2.32,568.0,24.6,5103.0,4.562,0.787,291.63898,42.436321
170,CONFIRMED,56.0560754,4.685,1626.0,1.94,233.0,0.69,3593.0,4.757,0.491,289.50848,41.812119
171,CONFIRMED,41.408316686,5.0264,22839.0,11.38,453.0,9.93,5522.0,4.586,0.747,291.76041,41.944069
172,CANDIDATE,39.74893077,7.3051,15179.0,14.21,552.0,21.87,6122.0,4.487,0.964,293.17929,41.969238
173,CONFIRMED,5.715425977,2.5242,908.1,2.47,850.0,123.03,5237.0,4.572,0.826,285.11047,42.033958
174,CONFIRMED,49.18394185,11.3364,1646.2,8.2,669.0,47.4,5626.0,3.907,2.057,294.55917,46.062328
175,CONFIRMED,20.0261412,1.611,421.2,2.28,559.0,23.14,5237.0,4.572,0.826,285.11047,42.033958
176,CANDIDATE,13.61014819,2.594,5732.9,19.02,733.0,68.29,5697.0,4.46,0.903,289.89777,42.009151
177,FALSE POSITIVE,10.44331991,2.743,1159.8,2.66,667.0,46.94,4947.0,4.516,0.802,286.24356,42.148811
178,CONFIRMED,2.237489571,1.8119,315.8,1.41,1160.0,427.17,5265.0,4.58,0.81,290.00757,42.116459
179,FALSE POSITIVE,5.851520671,3.11058,33004.0,14.62,901.0,155.89,5532.0,4.53,0.806,284.08731,42.233231
180,CONFIRMED,3.167893418,2.1814,781.2,2.62,1221.0,526.23,5895.0,4.503,0.94,293.81647,42.212502
181,CONFIRMED,4.311780262,2.7251,1154.0,3.11,1038.0,274.84,5527.0,4.484,0.927,287.24268,42.301369
182,CONFIRMED,20.0504494,4.556,840.9,2.69,622.0,35.44,5527.0,4.484,0.927,287.24268,42.301369
183,CONFIRMED,9.76734503,1.6585,569.1,2.67,791.0,92.46,5527.0,4.484,0.927,287.24268,42.301369
184,CANDIDATE,119.0207044,8.1405,7430.5,8.98,366.0,4.25,5453.0,4.342,1.062,291.58377,42.36816
185,CONFIRMED,190.3200468,15.284,1141.7,7.78,426.0,7.8,5626.0,3.907,2.057,294.55917,46.062328
186,FALSE POSITIVE,2.861159894,1.8832,1014.3,4.37,1355.0,797.1,6126.0,4.458,1.021,291.67172,42.343109
187,CONFIRMED,26.44439337,3.9783,1843.5,3.91,562.0,23.54,5427.0,4.463,0.929,292.87338,42.966141
188,CONFIRMED,51.53997972,6.3994,3644.3,5.51,450.0,9.67,5427.0,4.463,0.929,292.87338,42.966141
189,CONFIRMED,5.902245782,2.9003,702.3,2.43,926.0,173.74,5427.0,4.463,0.929,292.87338,42.966141
190,CONFIRMED,2.382951591,1.8876,391.6,1.86,1253.0,583.01,5427.0,4.463,0.929,292.87338,42.966141
191,CONFIRMED,21.02250608,4.1072,1772.5,3.07,521.0,17.48,5067.0,4.585,0.75,294.90973,42.935261
192,CONFIRMED,3.219814777,2.0642,488.2,1.69,998.0,234.93,5103.0,4.562,0.787,291.63898,42.436321
193,CONFIRMED,5.912273234,2.3254,961.4,1.73,585.0,27.72,4072.0,4.696,0.57,292.13702,42.42942
194,CONFIRMED,8.98581901,2.8606,881.3,1.65,509.0,15.9,4072.0,4.696,0.57,292.13702,42.42942
195,CANDIDATE,12.940668656,2.4845,42450.0,22.94,723.0,64.64,5875.0,4.572,0.809,291.11969,42.507069
196,FALSE POSITIVE,20.5452375,2.517,218.5,2.41,742.0,71.57,5670.0,4.206,1.264,294.40192,50.172089
197,CONFIRMED,33.60123371,4.4056,7425.9,8.46,495.0,14.22,5149.0,4.447,0.93,289.26874,42.604172
198,CONFIRMED,6.76652928,2.9004,450.7,1.97,845.0,120.48,5149.0,4.447,0.93,289.26874,42.604172
199,CONFIRMED,4.347288783,2.1024,451.6,2.36,1174.0,449.79,5754.0,4.345,1.122,291.96417,42.69614
200,CONFIRMED,4.601811819,2.2607,755.9,2.35,896.0,152.91,4986.0,4.496,0.833,296.48343,42.663429
201,CONFIRMED,11.18719905,3.252,353.6,1.55,667.0,46.65,4986.0,4.496,0.833,296.48343,42.663429
202,CONFIRMED,4.220965778,3.0854,2260.0,2.62,595.0,29.68,3837.0,4.747,0.517,296.69394,42.62611
203,FALSE POSITIVE,6.998099523,2.0488,20285.0,588.66,853.0,125.22,5612.0,4.566,0.829,287.88412,42.832439
204,CONFIRMED,5.95489993,2.3892,1410.7,2.33,635.0,38.52,4261.0,4.641,0.633,293.63696,42.82497
205,CONFIRMED,12.03987488,2.7363,1250.6,2.18,502.0,15.06,4261.0,4.641,0.633,293.63696,42.82497
206,CONFIRMED,20.83762895,2.3734,439.0,1.42,418.0,7.24,4261.0,4.641,0.633,293.63696,42.82497
207,FALSE POSITIVE,8.8111022,5.0683,401.1,63.66,1399.0,904.92,6200.0,3.8,2.404,294.46088,38.383461
208,CONFIRMED,23.58917143,5.073,1200.7,3.16,487.0,13.34,4919.0,4.566,0.721,297.46002,42.83992
209,CONFIRMED,6.481633073,3.784,298.5,2.54,1145.0,406.25,5945.0,4.213,1.302,290.39273,40.28487
210,CONFIRMED,10.37168928,3.035,1254.9,3.2,720.0,63.68,5121.0,4.457,0.888,290.39322,43.363899
211,CONFIRMED,3.96996298,1.1757,299.2,1.78,992.0,229.37,5121.0,4.457,0.888,290.39322,43.363899
212,CONFIRMED,4.40841331,5.012,549.4,2.66,1139.0,398.0,6007.0,4.457,0.961,292.96555,43.34639
213,FALSE POSITIVE,7.9426176,6.703,1590.7,4.68,878.0,140.57,5811.0,4.521,0.926,299.00143,43.399632
214,CONFIRMED,226.8904775,7.558,3136.4,4.53,236.0,0.73,5067.0,4.585,0.75,294.90973,42.935261
215,FALSE POSITIVE,1.956811408,2.1958,24905.0,21.58,1109.0,357.16,5209.0,4.657,0.603,295.83536,42.943062
216,CANDIDATE,2.688899233,2.11275,37492.0,12.04,929.0,175.76,4820.0,4.667,0.639,296.68307,42.967869
217,CONFIRMED,9.439459486,2.8979,3036.1,4.16,686.0,52.32,5097.0,4.597,0.779,288.64252,43.039291
218,CONFIRMED,11.523067458,3.8757,507.3,3.13,927.0,174.81,5644.0,4.162,1.411,284.48245,44.398041
219,CONFIRMED,20.47748843,2.8364,1382.4,2.92,530.0,18.65,5097.0,4.597,0.779,288.64252,43.039291
220,CONFIRMED,3.336123113,1.9616,516.3,1.74,970.0,209.79,5097.0,4.597,0.779,288.64252,43.039291
221,CONFIRMED,8.01078456,2.312,1333.6,1.72,453.0,9.9,3713.0,4.779,0.47,294.77393,43.056301
222,CONFIRMED,12.07134205,4.3224,759.2,1.29,395.0,5.74,3713.0,4.779,0.47,294.77393,43.056301
223,CONFIRMED,20.99587872,2.6333,767.3,1.3,328.0,2.74,3713.0,4.779,0.47,294.77393,43.056301
224,CONFIRMED,7.41113177,2.5242,620.5,2.45,905.0,158.11,5849.0,4.517,0.919,295.65149,43.029831
